Name,Country,Overall_Score,Rank,A_Score,B_Score,C_Score,Time,PlaceCat,Region,Event,Gender,B_Score_Cat,A_Ded_Cnt,Nandu_Miss,Nandu_Total,Nandu_Completed
Chen Ming Wang,TPE,9.59,7,5,2.59,2,1.39,Top10,Asia,Daoshu (Broadsword),M,Superior,0,0,12,100%
Illias Khusnutdinov,RUS,9.55,8,4.9,2.65,2,1.36,Top10,Russia,Daoshu (Broadsword),M,Superior,1,0,11,100%
Xuan Hiep Tran,VIE,9.47,9,4.9,2.57,2,1.26,Top10,Asia,Daoshu (Broadsword),M,Superior,1,0,10,100%
Tsz Hong Lau,HKG,9.44,10,4.9,2.54,2,1.29,Top10,Asia,Daoshu (Broadsword),M,Superior,1,0,12,100%
Brandon Porfirio Da Silva,BRA,9.42,11,5,2.42,2,1.33,Top20,America,Daoshu (Broadsword),M,Average,0,0,12,100%
Yotekati Alejandro Guerrero Becerra,MEX,9.41,12,4.9,2.51,2,1.28,Top20,America,Daoshu (Broadsword),M,Superior,1,0,12,100%
Yi Xiang Yong,SGP,9.4,13,4.9,2.5,2,1.29,Top20,Asia,Daoshu (Broadsword),M,Average,1,0,12,100%
Norlence Ardee Catolico,PHI,9.38,14,4.9,2.48,2,1.25,Top20,Asia,Daoshu (Broadsword),M,Average,1,0,12,100%
Henry Yuji Nakata,BRA,9.37,15,4.9,2.47,2,1.35,Top20,America,Daoshu (Broadsword),M,Average,1,0,12,100%
Amir Mohammadrezaei Arrehkamar,IRI,9.3,16,4.8,2.5,2,1.36,Top20,MiddleEast,Daoshu (Broadsword),M,Average,2,0,12,100%
Luis Alberto Carachure De Jesus,MEX,9.21,17,4.9,2.31,2,1.32,Top20,America,Daoshu (Broadsword),M,Average,1,0,12,100%
Hibiki Betto,JPN,9.18,18,4.8,2.53,1.85,1.31,Top20,Asia,Daoshu (Broadsword),M,Superior,2,1,12,92%
Luis Felipe Alvarez Rosas,MEX,9.17,19,4.9,2.42,1.85,1.27,Top20,America,Daoshu (Broadsword),M,Average,1,1,11,91%
Sergey Badrutdinov,RUS,9.16,20,4.8,2.61,1.75,1.27,Top20,Russia,Daoshu (Broadsword),M,Superior,2,2,11,82%
Domenico Giordano,ITA,9.14,21,4.7,2.44,2,1.47,Top30,Europe,Daoshu (Broadsword),M,Average,3,0,12,100%
Nicolas Oursel,FRA,9.09,22,4.9,2.34,1.85,1.28,Top30,Europe,Daoshu (Broadsword),M,Average,1,1,12,92%
Nok In Wu,MAC,9.08,23,4.7,2.53,1.85,1.24,Top30,Asia,Daoshu (Broadsword),M,Superior,3,1,12,92%
Eric Anthony Luong,CAN,8.97,24,5,2.42,1.55,2.27,Top30,America,Daoshu (Broadsword),M,Average,0,2,14,86%
Dominic Chow,USA,8.9,25,4.9,2.45,1.55,1.48,Top30,America,Daoshu (Broadsword),M,Average,1,2,12,83%
Mario Sanchez Martinez,ESP,8.67,26,4.5,2.27,1.9,1.29,Top30,Europe,Daoshu (Broadsword),M,Average,5,1,12,92%
Mattia Demaria,ITA,8.52,27,4.6,2.37,1.55,1.33,Top30,Europe,Daoshu (Broadsword),M,Average,4,2,11,82%
Melvin Tan,AUS,8.43,28,4.6,2.28,1.55,1.25,Top30,Oceanic,Daoshu (Broadsword),M,Average,4,2,12,83%
Nestor Urzainqui,ESP,8.4,29,4.6,2.15,1.65,1.3,Top30,Europe,Daoshu (Broadsword),M,Average,4,2,12,83%
Curtis Filmer,GBR,8.31,30,4.5,2.36,1.45,1.39,Top30,Europe,Daoshu (Broadsword),M,Average,5,3,13,77%
Daniel Narvaez Gomez,MEX,7.94,31,4.8,2.44,0.7,1.24,Top40,America,Daoshu (Broadsword),M,Average,2,7,12,42%
Hector Miguel Toledo Toledo,CHI,7.7,32,4.6,2,1.1,1.38,Top40,America,Daoshu (Broadsword),M,Average,4,4,11,64%
Boudaoud Yacine,ALG,7.3,33,4.1,2.1,1.1,1.34,Top40,Africa,Daoshu (Broadsword),M,Average,8,4,11,64%
Renato Baio,BEL,6,34,3.7,1.9,0.4,1.55,Top40,Europe,Daoshu (Broadsword),M,Inferior,11,6,8,25%
Cosmin Alexandru,ROU,5.7,35,3.5,1.7,0.5,1.46,Top40,Europe,Daoshu (Broadsword),M,Inferior,12,8,10,20%
Yonghyun Lee,KOR,9.7,1,5,2.7,2,1.27,Gold,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
Achmad Hulaefi,INA,9.68,2,5,2.68,2,1.25,Top10,Asia,Gunshu (Staff),M,Superior,0,0,12,100%
